Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
PVDF,Poly(vinylidene fluoride),PVDF,halogenated compound; polymer,C 1s,286.3,0.1,CH₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
PVDF,Poly(vinylidene fluoride),PVDF,halogenated compound; polymer,C 1s,290.8,0.1,CF₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
PVDF,Poly(vinylidene fluoride),PVDF,halogenated compound; polymer,F 1s,687.7,0.1,CF₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
PTFE,Polytetrafluoroethylene,PTFE,halogenated compound; polymer,C 1s,292.5,0.1,CF₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
PTFE,Polytetrafluoroethylene,PTFE,halogenated compound; polymer,F 1s,689.7,0.1,CF₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
Graphite,Graphite,,element,C 1s,284.4,0.1,C sp²,2,10.1016/S0169-4332(00)00525-0,Graphite C 1s = 284.4 eV
Graphite,Graphite,,element,C 1s,285.0,0.1,"CC, CH",2,10.1016/S0169-4332(00)00525-0,Graphite C 1s = 284.4 eV
Graphite,Graphite,,element,C 1s,286.2,0.1,"C-OH, C-O-C",2,10.1016/S0169-4332(00)00525-0,Graphite C 1s = 284.4 eV
Graphite,Graphite,,element,C 1s,287.7,0.05,C=O,2,10.1016/S0169-4332(00)00525-0,Graphite C 1s = 284.4 eV
Graphite,Graphite,,element,C 1s,288.9,0.25,"COOH, COOR",2,10.1016/S0169-4332(00)00525-0,Graphite C 1s = 284.4 eV
Graphite,Graphite,,element,C 1s,290.5,0.15,"CO₃, π–π*",2,10.1016/S0169-4332(00)00525-0,Graphite C 1s = 284.4 eV
CH3OCO2Li,Lithium methyl carbonate,MeOCO₂Li; LMC,alkali; carbonate,Li 1s,55.5,0.2,Li⁺,3; 52,10.1021/jp051626k; 10.1038/s41557-019-0304-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
CH3OCO2Li,Lithium methyl carbonate,MeOCO₂Li; LMC,alkali; carbonate,C 1s,286.6,0.2,CO,3; 52,10.1021/jp051626k; 10.1038/s41557-019-0304-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
CH3OCO2Li,Lithium methyl carbonate,MeOCO₂Li; LMC,alkali; carbonate,C 1s,290.1,0.2,CO₃,3; 52,10.1021/jp051626k; 10.1038/s41557-019-0304-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
CH3OCO2Li,Lithium methyl carbonate,MeOCO₂Li; LMC,alkali; carbonate,O 1s,531.8,0.2,CO₃,3; 52,10.1021/jp051626k; 10.1038/s41557-019-0304-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
CH3OCO2Li,Lithium methyl carbonate,MeOCO₂Li; LMC,alkali; carbonate,O 1s,533.3,0.2,CO,3; 52,10.1021/jp051626k; 10.1038/s41557-019-0304-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
CH3CH2OCO2Li,Lithium ethyl carbonate,EtOCO₂Li,alkali; carbonate,Li 1s,55.5,0.15,Li⁺,3,10.1021/jp051626k,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OCO2Li,Lithium ethyl carbonate,EtOCO₂Li,alkali; carbonate,C 1s,285.2,0.15,"CC, CH",3,10.1021/jp051626k,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OCO2Li,Lithium ethyl carbonate,EtOCO₂Li,alkali; carbonate,C 1s,286.4,0.15,CO,3,10.1021/jp051626k,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OCO2Li,Lithium ethyl carbonate,EtOCO₂Li,alkali; carbonate,C 1s,290.1,0.15,CO₃,3,10.1021/jp051626k,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OCO2Li,Lithium ethyl carbonate,EtOCO₂Li,alkali; carbonate,O 1s,531.8,0.15,CO₃,3,10.1021/jp051626k,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OCO2Li,Lithium ethyl carbonate,EtOCO₂Li,alkali; carbonate,O 1s,533.3,0.15,CO,3,10.1021/jp051626k,C 1s (C-C/C-H) = 285.0 eV
VC-Polymer,Poly(vinylene carbonate),Poly-VC; Poly(VC); poly(vinylene carbonate),carbonate; polymer,C 1s,288.0,0.15,CO,4,10.1149/1.3029674,C 1s (C-C/C-H) = 285.0 eV
VC-Polymer,Poly(vinylene carbonate),Poly-VC; Poly(VC); poly(vinylene carbonate),carbonate; polymer,C 1s,291.3,0.15,CO₃,4,10.1149/1.3029674,C 1s (C-C/C-H) = 285.0 eV
