Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
β-NiOOH,beta nickel oxyhydroxide,beta-NiOOH; β-nickel oxyhydroxide; nickel oxyhydroxide; nickel(III) oxide hydroxide,oxide; hydroxide,Ni 2p3/2,854.6,0.1,Ni³⁺ (peak 1),12; 14,10.1016/j.susc.2006.01.041; 10.1016/j.apsusc.2010.10.051,C 1s = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
β-NiOOH,beta nickel oxyhydroxide,beta-NiOOH; β-nickel oxyhydroxide; nickel oxyhydroxide; nickel(III) oxide hydroxide,oxide; hydroxide,Ni 2p3/2,854.9,0.1,Ni²⁺ (peak 1),12; 14,10.1016/j.susc.2006.01.041; 10.1016/j.apsusc.2010.10.051,C 1s = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
NiF2,difluoronickel,NICKEL FLUORIDE; difluoronickel; Nickel difluoride; Nickelous fluoride; Nickel(II) fluoride (1:2),fluoride,Ni 2p3/2,858.1,0.1,Ni²⁺ (peak 1),13,10.1039/c2cp22419d,F 1s = 685.23 eV
NiF2,difluoronickel,NICKEL FLUORIDE; difluoronickel; Nickel difluoride; Nickelous fluoride; Nickel(II) fluoride (1:2),fluoride,F 1s,685.2,0.1,F⁻,13,10.1039/c2cp22419d,F 1s = 685.23 eV
NiCl2,dichloronickel,NICKEL CHLORIDE; Nickel(II) chloride; Nickel dichloride; dichloronickel; Nickelous chloride,chloride,Ni 2p3/2,856.8,0.1,Ni²⁺ (peak 1),13,10.1039/c2cp22419d,C 1s (C-C/C-H) = 284.8 eV
NiCl2,dichloronickel,NICKEL CHLORIDE; Nickel(II) chloride; Nickel dichloride; dichloronickel; Nickelous chloride,chloride,Cl 2p3/2,199.9,0.1,Cl⁻,13,10.1039/c2cp22419d,C 1s (C-C/C-H) = 284.8 eV
NiBr2,dibromonickel,Nickel(II) bromide; Dibromonickel; Nickel dibromide; Nickelous bromide; Br2Ni,bromide,Ni 2p3/2,855.2,0.1,Ni²⁺ (peak 1),13,10.1039/c2cp22419d,C 1s (C-C/C-H) = 284.8 eV
NiBr2,dibromonickel,Nickel(II) bromide; Dibromonickel; Nickel dibromide; Nickelous bromide; Br2Ni,bromide,Br 3d5/2,69.2,0.1,Br⁻,13,10.1039/c2cp22419d,C 1s (C-C/C-H) = 284.8 eV
NiI2,Nickel(II) iodide,,iodide,Ni 2p3/2,854.5,0.1,Ni²⁺ (peak 1),13,10.1039/c2cp22419d,C 1s (C-C/C-H) = 284.8 eV
NiI2,Nickel(II) iodide,,iodide,I 3d5/2,619.5,0.1,I⁻,13,10.1039/c2cp22419d,C 1s (C-C/C-H) = 284.8 eV
Cr,chromium,chromium metal,element,Cr 2p3/2,574.2,0.1,Cr⁰ (peak 1),14,10.1016/j.apsusc.2010.10.051,Au 4f7/2 = 83.95 eV
Cr2O3,chromium(III) oxide,chromia; eskolaite; chromium sesquioxide,oxide,Cr 2p3/2,575.7,0.1,Cr³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Cr2O3,chromium(III) oxide,chromia; eskolaite; chromium sesquioxide,oxide,O 1s,530.0,0.15,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Cr(OH)3,chromium(III) hydroxide,chromium hydroxide; chromic hydroxide,hydroxide,Cr 2p3/2,577.3,0.1,Cr³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Cr(OH)3,chromium(III) hydroxide,chromium hydroxide; chromic hydroxide,hydroxide,O 1s,531.7,0.1,OH⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
CrO3,chromium(VI) oxide,chromium trioxide; chromic anhydride,oxide,Cr 2p3/2,579.6,0.1,Cr⁶⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
CrO3,chromium(VI) oxide,chromium trioxide; chromic anhydride,oxide,O 1s,530.4,0.05,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeCr2O4,iron(II) chromite,chromite; iron chromite; ferrous chromite,oxide,Cr 2p3/2,575.9,0.1,Cr³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeCr2O4,iron(II) chromite,chromite; iron chromite; ferrous chromite,oxide,Fe 2p3/2,709.0,0.1,Fe²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeCr2O4,iron(II) chromite,chromite; iron chromite; ferrous chromite,oxide,O 1s,530.2,0.25,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
NiCr2O4,nickel chromite,nickel chromium oxide,oxide,Cr 2p3/2,575.2,0.1,Cr³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
NiCr2O4,nickel chromite,nickel chromium oxide,oxide,Ni 2p3/2,853.8,0.1,Ni²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
NiCr2O4,nickel chromite,nickel chromium oxide,oxide,O 1s,530.0,0.05,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Mn,manganese,manganese metal,element,Mn 2p3/2,638.6,0.1,Mn⁰ (peak 1),14,10.1016/j.apsusc.2010.10.051,Au 4f7/2 = 83.95 eV
MnO,manganese(II) oxide,manganese monoxide; manganous oxide,oxide,Mn 2p3/2,640.2,0.1,Mn²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
MnO,manganese(II) oxide,manganese monoxide; manganous oxide,oxide,O 1s,529.9,0.3,O²⁻,14; 17,10.1016/j.apsusc.2010.10.051; 10.1016/j.apsusc.2017.03.205,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 285.0 eV
Mn2O3,manganese(III) oxide,manganese sesquioxide; manganic oxide; bixbyite,oxide,Mn 2p3/2,640.8,0.1,Mn³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Mn2O3,manganese(III) oxide,manganese sesquioxide; manganic oxide; bixbyite,oxide,O 1s,530.0,0.3,O²⁻,14; 17,10.1016/j.apsusc.2010.10.051; 10.1016/j.apsusc.2017.03.205,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 285.0 eV
MnOOH,manganese(III) oxyhydroxide,manganite; manganese oxyhydroxide; MnO(OH),hydroxide; oxide,Mn 2p3/2,640.9,0.2,Mn³⁺ (peak 1),14; 27,10.1016/j.apsusc.2010.10.051; 10.1016/j.apsusc.2015.12.159,C 1s (C-C/C-H) = 284.8 eV; Not reported
MnOOH,manganese(III) oxyhydroxide,manganite; manganese oxyhydroxide; MnO(OH),hydroxide; oxide,O 1s,530.0,0.05,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
MnOOH,manganese(III) oxyhydroxide,manganite; manganese oxyhydroxide; MnO(OH),hydroxide; oxide,O 1s,531.2,0.05,OH⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
MnO2,manganese(IV) oxide,manganese dioxide; pyrolusite,oxide,Mn 2p3/2,641.9,0.1,Mn⁴⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
MnO2,manganese(IV) oxide,manganese dioxide; pyrolusite,oxide,O 1s,529.5,0.1,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
K2MnO4,potassium manganate,potassium manganate(VI),alkali; manganate,Mn 2p3/2,643.8,0.1,Mn⁶⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
K2MnO4,potassium manganate,potassium manganate(VI),alkali; manganate,O 1s,530.6,0.05,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
KMnO4,potassium permanganate,potassium manganate(VII),alkali; manganate,Mn 2p3/2,645.5,0.1,Mn⁷⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
KMnO4,potassium permanganate,potassium manganate(VII),alkali; manganate,O 1s,530.7,0.05,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Fe,iron,iron metal,element,Fe 2p3/2,706.6,0.1,Fe⁰ (peak 1),14,10.1016/j.apsusc.2010.10.051,Au 4f7/2 = 83.95 eV
FeO,iron(II) oxide,ferrous oxide; wustite; wüstite,oxide,Fe 2p3/2,708.4,0.1,Fe²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeO,iron(II) oxide,ferrous oxide; wustite; wüstite,oxide,O 1s,530.0,0.25,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Fe2O3,iron(III) oxide,ferric oxide; hematite; maghemite; alpha-Fe2O3; gamma-Fe2O3,oxide,Fe 2p3/2,709.8,0.1,Fe³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Fe2O3,iron(III) oxide,ferric oxide; hematite; maghemite; alpha-Fe2O3; gamma-Fe2O3,oxide,O 1s,529.9,0.1,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeOOH,iron(III) oxyhydroxide,iron oxyhydroxide; goethite; lepidocrocite; alpha-FeOOH; gamma-FeOOH,hydroxide; oxide,Fe 2p3/2,710.3,0.1,Fe³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeOOH,iron(III) oxyhydroxide,iron oxyhydroxide; goethite; lepidocrocite; alpha-FeOOH; gamma-FeOOH,hydroxide; oxide,O 1s,529.9,0.1,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeOOH,iron(III) oxyhydroxide,iron oxyhydroxide; goethite; lepidocrocite; alpha-FeOOH; gamma-FeOOH,hydroxide; oxide,O 1s,531.3,0.1,OH⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Fe3O4,"iron(II,III) oxide",magnetite; ferrosoferric oxide,oxide,Fe 2p3/2,708.4,0.1,Fe²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Fe3O4,"iron(II,III) oxide",magnetite; ferrosoferric oxide,oxide,Fe 2p3/2,710.2,0.1,Fe³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Fe3O4,"iron(II,III) oxide",magnetite; ferrosoferric oxide,oxide,O 1s,530.1,0.1,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
NiFe2O4,nickel ferrite,nickel iron oxide,oxide,Fe 2p3/2,709.5,0.1,Fe³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
NiFe2O4,nickel ferrite,nickel iron oxide,oxide,Ni 2p3/2,854.5,0.1,Ni²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
NiFe2O4,nickel ferrite,nickel iron oxide,oxide,O 1s,529.8,0.05,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeCO3,iron(II) carbonate,siderite; ferrous carbonate,carbonate,Fe 2p3/2,709.8,0.1,Fe²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
FeCO3,iron(II) carbonate,siderite; ferrous carbonate,carbonate,C 1s,290.1,0.1,CO₃²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Co,cobalt,cobalt metal,element,Co 2p3/2,778.1,0.1,Co⁰ (peak 1),14,10.1016/j.apsusc.2010.10.051,Au 4f7/2 = 83.95 eV
CoO,cobalt(II) oxide,cobalt monoxide; cobaltous oxide,oxide,Co 2p3/2,780.1,0.3,Co²⁺ (peak 1),14; 33,10.1016/j.apsusc.2010.10.051; 10.1021/cm0311269,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 285.0 eV
CoO,cobalt(II) oxide,cobalt monoxide; cobaltous oxide,oxide,O 1s,529.8,0.3,O²⁻,14; 33,10.1016/j.apsusc.2010.10.051; 10.1021/cm0311269,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 285.0 eV
Co(OH)2,cobalt(II) hydroxide,cobalt hydroxide; cobaltous hydroxide,hydroxide,Co 2p3/2,780.4,0.1,Co²⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Co(OH)2,cobalt(II) hydroxide,cobalt hydroxide; cobaltous hydroxide,hydroxide,O 1s,531.1,0.05,OH⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
CoOOH,cobalt(III) oxyhydroxide,cobalt oxyhydroxide; CoO(OH),hydroxide; oxide,Co 2p3/2,780.1,0.1,Co³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Co3O4,"cobalt(II,III) oxide",cobalt oxide; tricobalt tetroxide,oxide,Co 2p3/2,779.6,0.1,Co²⁺/Co³⁺ (peak 1),14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
Co3O4,"cobalt(II,III) oxide",cobalt oxide; tricobalt tetroxide,oxide,O 1s,530.0,0.1,O²⁻,14,10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV
LiMn2O4,lithium manganese oxide spinel,LMO; lithium manganate,alkali; oxide,Mn 2p3/2,641.1,0.2,Mn³⁺ (peak 1),15,10.1016/j.electacta.2015.08.145,C 1s (C-C/C-H) = 285.0 eV
LiMn2O4,lithium manganese oxide spinel,LMO; lithium manganate,alkali; oxide,O 1s,529.9,0.2,O²⁻,15,10.1016/j.electacta.2015.08.145,C 1s (C-C/C-H) = 285.0 eV
Li1.25Mn1.75O4,lithium-rich manganese oxide spinel,overlithiated manganese spinel,alkali; oxide,Mn 2p3/2,641.1,0.2,Mn³⁺ (peak 1),15,10.1016/j.electacta.2015.08.145,C 1s (C-C/C-H) = 285.0 eV
Li1.25Mn1.75O4,lithium-rich manganese oxide spinel,overlithiated manganese spinel,alkali; oxide,O 1s,529.9,0.2,O²⁻,15,10.1016/j.electacta.2015.08.145,C 1s (C-C/C-H) = 285.0 eV
Li1.2Mn1.8O4,lithium-rich manganese oxide spinel,overlithiated manganese spinel,alkali; oxide,Mn 2p3/2,641.1,0.2,Mn³⁺ (peak 1),15,10.1016/j.electacta.2015.08.145,C 1s (C-C/C-H) = 285.0 eV
Li1.2Mn1.8O4,lithium-rich manganese oxide spinel,overlithiated manganese spinel,alkali; oxide,O 1s,529.9,0.2,O²⁻,15,10.1016/j.electacta.2015.08.145,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Mn 2p3/2,641.2,0.15,Mn³⁺ (peak 1),16,10.1021/jp5001573,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Mn 2p3/2,642.3,0.15,Mn⁴⁺ (peak 1),16,10.1021/jp5001573,C 1s (C-C/C-H) = 285.0 eV
Li2MnO3,lithium manganese oxide,lithium manganate,alkali; oxide,Mn 2p3/2,642.2,0.2,Mn⁴⁺,17,10.1016/j.apsusc.2017.03.205,C 1s (C-C/C-H) = 285.0 eV
Li2MnO3,lithium manganese oxide,lithium manganate,alkali; oxide,O 1s,529.9,0.2,O²⁻,17,10.1016/j.apsusc.2017.03.205,C 1s (C-C/C-H) = 285.0 eV
Fe2(MoO4)3,iron(III) molybdate,ferric molybdate; iron molybdate,molybdate,Fe 2p3/2,711.6,0.4,Fe³⁺ (peak 1),18; 19,10.1016/j.jpowsour.2016.12.117; 10.1016/j.jallcom.2017.11.231,C 1s (C-C/C-H) = 285.0 eV; Not reported
Fe2(MoO4)3,iron(III) molybdate,ferric molybdate; iron molybdate,molybdate,Mo 3d5/2,232.4,0.15,Mo⁶⁺,18; 19,10.1016/j.jpowsour.2016.12.117; 10.1016/j.jallcom.2017.11.231,C 1s (C-C/C-H) = 285.0 eV; Not reported
Fe2(MoO4)3,iron(III) molybdate,ferric molybdate; iron molybdate,molybdate,O 1s,530.7,0.3,O²⁻,18; 19,10.1016/j.jpowsour.2016.12.117; 10.1016/j.jallcom.2017.11.231,C 1s (C-C/C-H) = 285.0 eV; Not reported
Sb,antimony,antimony metal; metallic antimony,element,Sb 3d5/2,528.5,0.15,Sb⁰,20,10.1016/j.jpowsour.2014.09.037,C 1s (C-C/C-H) = 285.0 eV
VPO4,vanadium(III) phosphate,vanadium phosphate,phosphate,V 2p3/2,514.4,0.2,V²⁺,21,10.1149/1945-7111/abbb0c,O 1s = 530.0 eV
VPO4,vanadium(III) phosphate,vanadium phosphate,phosphate,V 2p3/2,515.4,0.2,V³⁺,21,10.1149/1945-7111/abbb0c,O 1s = 530.0 eV
VPO4,vanadium(III) phosphate,vanadium phosphate,phosphate,V 2p3/2,516.2,0.2,V⁴⁺,21,10.1149/1945-7111/abbb0c,O 1s = 530.0 eV
KVOPO4,potassium vanadyl phosphate,potassium vanadium phosphate,alkali; phosphate,V 2p3/2,516.2,0.2,V⁴⁺,21,10.1149/1945-7111/abbb0c,O 1s = 530.0 eV
VOPO4,vanadyl phosphate,vanadium oxide phosphate,phosphate,V 2p3/2,515.9,0.2,V⁴⁺,21,10.1149/1945-7111/abbb0c,O 1s = 530.0 eV
VOPO4,vanadyl phosphate,vanadium oxide phosphate,phosphate,V 2p3/2,517.1,0.2,V⁵⁺,21,10.1149/1945-7111/abbb0c,O 1s = 530.0 eV
CH3CO2K,potassium acetate,potassium ethanoate,alkali; acetate,K 2p3/2,292.8,0.2,K⁺,22; 23,10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
CH3CO2K,potassium acetate,potassium ethanoate,alkali; acetate,C 1s,288.4,0.15,CO₂⁻,22; 23,10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
CH3CO2K,potassium acetate,potassium ethanoate,alkali; acetate,O 1s,531.1,0.1,CO₂⁻,22; 23,10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
V2O5,vanadium(V) oxide,vanadium pentoxide,oxide,V 2p3/2,517.3,0.2,V⁵⁺,24; 25; 26,10.1016/j.elspec.2004.03.004; 10.1002/sia.3844; 10.1016/j.elspec.2005.09.001,O 1s (VOx) = 530.0 eV; Not reported; Not reported
VO2,vanadium(IV) oxide,vanadium dioxide,oxide,V 2p3/2,516.0,0.2,V⁴⁺,24; 25; 26,10.1016/j.elspec.2004.03.004; 10.1002/sia.3844; 10.1016/j.elspec.2005.09.001,O 1s (VOx) = 530.0 eV; Not reported; Not reported
V2O3,vanadium(III) oxide,vanadium sesquioxide,oxide,V 2p3/2,515.3,0.2,V³⁺,24; 25; 26,10.1016/j.elspec.2004.03.004; 10.1002/sia.3844; 10.1016/j.elspec.2005.09.001,O 1s (VOx) = 530.0 eV; Not reported; Not reported
V,vanadium,vanadium metal; metallic vanadium,element,V 2p3/2,512.2,0.15,V⁰,25,10.1002/sia.3844,Not reported
VO,vanadium(II) oxide,vanadium monoxide,oxide,V 2p3/2,512.7,0.1,V²⁺,25,10.1002/sia.3844,Not reported
VO,vanadium(II) oxide,vanadium monoxide,oxide,O 1s,531.1,0.1,O²⁻,25,10.1002/sia.3844,Not reported
V2O3,vanadium(III) oxide,vanadium sesquioxide,oxide,O 1s,530.0,0.1,O²⁻,25,10.1002/sia.3844,Not reported
VO2,vanadium(IV) oxide,vanadium dioxide,oxide,O 1s,529.4,0.1,O²⁻,25,10.1002/sia.3844,Not reported
V2O5,vanadium(V) oxide,vanadium pentoxide,oxide,O 1s,530.2,0.2,O²⁻,25; 26,10.1002/sia.3844; 10.1016/j.elspec.2005.09.001,Not reported; Not reported
Li6.25Al0.25La3Zr2O12,aluminum-doped lithium lanthanum zirconium oxide,Al-doped LLZO; aluminum-doped LLZO; garnet solid electrolyte,alkali; oxide; zirconate,O 1s,530.7,0.2,O²⁻,28,10.1002/aenm.201803440,Zr 3d5/2 (Zr4+) = 182.4 eV
Li6.5La3Zr1.5Nb0.5O12,niobium-doped lithium lanthanum zirconium oxide,Nb-doped LLZO; niobium-doped LLZO; garnet solid electrolyte,alkali; oxide; zirconate,Nb 3d5/2,207.9,0.2,Nb⁵⁺,28,10.1002/aenm.201803440,Zr 3d5/2 (Zr4+) = 182.4 eV
Li6.5La3Zr1.5Nb0.5O12,niobium-doped lithium lanthanum zirconium oxide,Nb-doped LLZO; niobium-doped LLZO; garnet solid electrolyte,alkali; oxide; zirconate,O 1s,530.7,0.2,O²⁻,28,10.1002/aenm.201803440,Zr 3d5/2 (Zr4+) = 182.4 eV
Li6.5La3Zr1.5Ta0.5O12,tantalum-doped lithium lanthanum zirconium oxide,Ta-doped LLZO; tantalum-doped LLZO; garnet solid electrolyte,alkali; oxide; zirconate,O 1s,530.7,0.2,O²⁻,28,10.1002/aenm.201803440,Zr 3d5/2 (Zr4+) = 182.4 eV
Li6PS5Cl,lithium phosphorus sulfide chloride,LPSCl; lithium argyrodite; lithium thiophosphate chloride,alkali; sulfide; chloride; phosphate,Li 1s,55.6,0.2,Li⁺,29,10.1016/j.ssi.2016.11.029,C 1s (C-C/C-H) = 285.0 eV
Li6PS5Cl,lithium phosphorus sulfide chloride,LPSCl; lithium argyrodite; lithium thiophosphate chloride,alkali; sulfide; chloride; phosphate,Cl 2p3/2,198.8,0.2,Cl⁻,29,10.1016/j.ssi.2016.11.029,C 1s (C-C/C-H) = 285.0 eV
Li6PS5Cl,lithium phosphorus sulfide chloride,LPSCl; lithium argyrodite; lithium thiophosphate chloride,alkali; sulfide; chloride; phosphate,P 2p3/2,132.0,0.2,PS₄³⁻,29,10.1016/j.ssi.2016.11.029,C 1s (C-C/C-H) = 285.0 eV
Li6PS5Cl,lithium phosphorus sulfide chloride,LPSCl; lithium argyrodite; lithium thiophosphate chloride,alkali; sulfide; chloride; phosphate,S 2p3/2,161.7,0.2,PS₄³⁻,29,10.1016/j.ssi.2016.11.029,C 1s (C-C/C-H) = 285.0 eV
LiCl,lithium chloride,,alkali; chloride,Li 1s,56.4,0.2,Li⁺,29; 37,10.1016/j.ssi.2016.11.029; 10.1002/anie.202015238,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
LiCl,lithium chloride,,alkali; chloride,Cl 2p3/2,198.7,0.2,Cl⁻,29; 37,10.1016/j.ssi.2016.11.029; 10.1002/anie.202015238,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
P2S5,phosphorus pentasulfide,diphosphorus pentasulfide; phosphorus(V) sulfide; P4S10,sulfide,P 2p3/2,132.9,0.2,P₂S₅,29,10.1016/j.ssi.2016.11.029,C 1s (C-C/C-H) = 285.0 eV
Li2S,lithium sulfide,lithium sulphide,alkali; sulfide,S 2p3/2,160.5,0.5,S²⁻,30; 31,10.1039/C5RA14915K; 10.1021/acsami.2c11196,S 2p3/2 (Li2SO4) = 169.6 eV; C 1s (lowest-BE) = 284.8 eV
Li2S,lithium sulfide,lithium sulphide,alkali; sulfide,S 2p3/2,162.3,0.1,terminal S,30,10.1039/C5RA14915K,S 2p3/2 (Li2SO4) = 169.6 eV
Li2S,lithium sulfide,lithium sulphide,alkali; sulfide,S 2p3/2,163.9,0.1,central S,30,10.1039/C5RA14915K,S 2p3/2 (Li2SO4) = 169.6 eV
Na2S,disodium sulfide,Sodium sulphide; Sodium sulfuret; sodium sulfide anhydrous; sodium monosulphide,alkali; sulfide,S 2p3/2,161.7,0.1,terminal S,30,10.1039/C5RA14915K,S 2p3/2 (Na2SO4) = 168.8 eV
Na2S,disodium sulfide,Sodium sulphide; Sodium sulfuret; sodium sulfide anhydrous; sodium monosulphide,alkali; sulfide,S 2p3/2,163.3,0.1,central S,30,10.1039/C5RA14915K,S 2p3/2 (Na2SO4) = 168.8 eV
Na2S,disodium sulfide,Sodium sulphide; Sodium sulfuret; sodium sulfide anhydrous; sodium monosulphide,alkali; sulfide,Na 1s,1071.6,0.1,Na⁺,30,10.1039/C5RA14915K,S 2p3/2 (Na2SO4) = 168.8 eV
Na2S4,disodium tetrasulfide,sodium tetrasulfide; sodium polysulfide,alkali; sulfide,S 2p3/2,161.8,0.1,terminal S,30,10.1039/C5RA14915K,S 2p3/2 (Na2SO4) = 168.8 eV
Na2S4,disodium tetrasulfide,sodium tetrasulfide; sodium polysulfide,alkali; sulfide,S 2p3/2,163.4,0.1,central S,30,10.1039/C5RA14915K,S 2p3/2 (Na2SO4) = 168.8 eV
Na2S4,disodium tetrasulfide,sodium tetrasulfide; sodium polysulfide,alkali; sulfide,Na 1s,1071.5,0.1,Na⁺,30,10.1039/C5RA14915K,S 2p3/2 (Na2SO4) = 168.8 eV
K2Sn,potassium polysulfide,K2Sx; K2Sₙ,alkali; sulfide,S 2p3/2,161.9,0.1,terminal S,30,10.1039/C5RA14915K,S 2p3/2 (K2SO4) = 168.6 eV
K2Sn,potassium polysulfide,K2Sx; K2Sₙ,alkali; sulfide,S 2p3/2,163.5,0.1,central S,30,10.1039/C5RA14915K,S 2p3/2 (K2SO4) = 168.6 eV
K2Sn,potassium polysulfide,K2Sx; K2Sₙ,alkali; sulfide,K 2p3/2,292.8,0.2,K⁺,30,10.1039/C5RA14915K,S 2p3/2 (K2SO4) = 168.6 eV
Li2S,lithium sulfide,lithium sulphide,alkali; sulfide,Li 1s,55.0,0.2,Li⁺,31,10.1021/acsami.2c11196,C 1s (lowest-BE) = 284.8 eV
LiCoO2,lithium cobalt oxide,LCO; lithium cobaltate,alkali; oxide,Li 1s,54.3,0.2,Li⁺,32,10.1021/am5089764,C 1s (C-C/C-H) = 285.0 eV
LiCoO2,lithium cobalt oxide,LCO; lithium cobaltate,alkali; oxide,Li 1s,55.5,0.2,Li₂CO₃,32,10.1021/am5089764,C 1s (C-C/C-H) = 285.0 eV
LiCoO2,lithium cobalt oxide,LCO; lithium cobaltate,alkali; oxide,Co 2p3/2,779.7,0.2,Co³⁺,32,10.1021/am5089764,C 1s (C-C/C-H) = 285.0 eV
LiCoO2,lithium cobalt oxide,LCO; lithium cobaltate,alkali; oxide,Co 3p,61.0,0.2,Co³⁺,32,10.1021/am5089764,C 1s (C-C/C-H) = 285.0 eV
LiCoO2,lithium cobalt oxide,LCO; lithium cobaltate,alkali; oxide,O 1s,529.5,0.2,O²⁻,32,10.1021/am5089764,C 1s (C-C/C-H) = 285.0 eV
LiNi1/3Mn1/3Co1/3O2,lithium nickel manganese cobalt oxide,NMC; NMC111; Li(Ni1/3Mn1/3Co1/3)O2,alkali; oxide,Li 1s,54.3,0.2,Li⁺,32,10.1021/am5089764,C 1s (C-C/C-H) = 285.0 eV
